Municipio,Numero_Focos,lat,lon,IMRI,Classificação_IMRI,Bioma_Mais_Afetado,Mes_Mais_Afetado,Focos 2015,Focos 2016,Focos 2017,Focos 2018,Focos 2019,Focos 2020,Focos 2021,Focos 2022,Focos 2023,Focos 2024,Focos 2025
POÇOS DE CALDAS,173,-21.84971057803468,-46.569929595375726,15.73,Baixo,Mata Atlântica,Ago,15.0,28.0,2.0,12.0,10.0,14.0,28.0,10.0,8.0,36.0,10.0
JOAQUIM FELÍCIO,173,-17.716338843930636,-44.20013791907514,15.73,Baixo,Cerrado,Set,14.0,4.0,8.0,10.0,7.0,17.0,30.0,20.0,12.0,20.0,31.0
TRÊS CORAÇÕES,172,-21.69867296511628,-45.24078145348837,15.64,Baixo,Mata Atlântica,Set,7.0,16.0,7.0,4.0,16.0,8.0,38.0,24.0,9.0,20.0,23.0
MINAS NOVAS,170,-17.354362294117646,-42.41164347058824,15.45,Baixo,Cerrado,Set,24.0,19.0,13.0,5.0,12.0,12.0,9.0,23.0,31.0,10.0,12.0
SANTANA DO RIACHO,170,-19.207923588235293,-43.60674841176471,15.45,Baixo,Cerrado,Ago,8.0,18.0,8.0,6.0,15.0,28.0,8.0,36.0,10.0,27.0,6.0
PIUMHI,169,-20.42944147928994,-46.06716414201183,15.36,Baixo,Cerrado,Set,3.0,18.0,9.0,9.0,12.0,12.0,26.0,24.0,12.0,24.0,20.0
CONSELHEIRO PENA,169,-19.129981420118344,-41.430301775147925,15.36,Baixo,Mata Atlântica,Set,22.0,4.0,1.0,13.0,20.0,30.0,13.0,14.0,4.0,43.0,5.0
PARAOPEBA,169,-19.279878165680472,-44.4351075147929,15.36,Baixo,Cerrado,Set,8.0,19.0,18.0,10.0,34.0,17.0,12.0,15.0,4.0,24.0,8.0
SENHORA DO PORTO,168,-18.897127261904764,-43.11463696428572,15.27,Baixo,Mata Atlântica,Set,8.0,0.0,28.0,3.0,25.0,4.0,22.0,19.0,10.0,37.0,12.0
SÃO SEBASTIÃO DO PARAÍSO,167,-20.90450724550898,-47.02025035928144,15.18,Baixo,Cerrado,Set,12.0,19.0,18.0,13.0,8.0,29.0,19.0,15.0,2.0,25.0,7.0
RIACHINHO,166,-16.215439879518073,-45.940787168674696,15.09,Baixo,Cerrado,Out,17.0,1.0,9.0,19.0,20.0,44.0,11.0,4.0,23.0,4.0,14.0
CARRANCAS,164,-21.48593920731708,-44.62255530487805,14.91,Baixo,Mata Atlântica,Set,4.0,13.0,12.0,18.0,11.0,4.0,36.0,8.0,19.0,26.0,13.0
CANÁPOLIS,164,-18.75695018292683,-49.29006597560976,14.91,Baixo,Mata Atlântica,Set,12.0,34.0,13.0,9.0,16.0,27.0,18.0,6.0,6.0,14.0,9.0
ÁGUA COMPRIDA,163,-19.96074319018405,-48.07422656441718,14.82,Baixo,Cerrado,Set,16.0,13.0,38.0,10.0,15.0,17.0,9.0,0.0,0.0,33.0,12.0
ATALÉIA,163,-18.20386073619632,-41.200824969325154,14.82,Baixo,Mata Atlântica,Out,17.0,6.0,2.0,10.0,27.0,8.0,22.0,22.0,10.0,30.0,9.0
ALFENAS,163,-21.399582699386503,-45.94972478527608,14.82,Baixo,Mata Atlântica,Ago,4.0,16.0,12.0,0.0,13.0,29.0,4.0,24.0,18.0,21.0,22.0
CACHOEIRA DE PAJEÚ,162,-15.942810308641976,-41.46824364197531,14.73,Baixo,Mata Atlântica,Set,48.0,7.0,4.0,11.0,7.0,9.0,28.0,16.0,13.0,8.0,11.0
PONTO DOS VOLANTES,162,-16.82444938271605,-41.42449043209877,14.73,Baixo,Mata Atlântica,Set,33.0,13.0,11.0,7.0,9.0,7.0,34.0,3.0,14.0,12.0,19.0
JEQUITAÍ,161,-17.223763354037267,-44.47458062111801,14.64,Baixo,Cerrado,Set,6.0,5.0,8.0,13.0,13.0,13.0,56.0,15.0,5.0,8.0,19.0
RAUL SOARES,158,-20.02879936708861,-42.4060553164557,14.36,Baixo,Mata Atlântica,Set,19.0,14.0,13.0,1.0,46.0,2.0,8.0,12.0,2.0,30.0,11.0
OLIVEIRA,158,-20.756404620253164,-44.76304702531645,14.36,Baixo,Mata Atlântica,Set,13.0,14.0,14.0,6.0,20.0,13.0,9.0,17.0,16.0,22.0,14.0
PEÇANHA,156,-18.55173314102564,-42.49712846153846,14.18,Baixo,Mata Atlântica,Out,39.0,5.0,8.0,2.0,20.0,10.0,24.0,11.0,14.0,10.0,13.0
NOVA PONTE,156,-19.2765716025641,-47.67730865384616,14.18,Baixo,Cerrado,Set,6.0,10.0,31.0,11.0,42.0,9.0,13.0,12.0,5.0,11.0,6.0
ITACARAMBI,155,-15.246927161290325,-44.10372941935484,14.09,Baixo,Cerrado,Set,11.0,2.0,0.0,6.0,15.0,15.0,66.0,5.0,5.0,4.0,26.0
ANTÔNIO CARLOS,155,-21.37524806451613,-43.77732206451613,14.09,Baixo,Mata Atlântica,Set,4.0,8.0,19.0,3.0,26.0,16.0,17.0,18.0,21.0,13.0,10.0
TAPIRA,155,-19.93089787096774,-46.85965045161291,14.09,Baixo,Cerrado,Set,5.0,14.0,27.0,10.0,11.0,15.0,6.0,13.0,9.0,26.0,19.0
PONTE NOVA,154,-20.427995454545457,-42.911542532467536,14.0,Baixo,Mata Atlântica,Set,0.0,12.0,26.0,3.0,23.0,7.0,10.0,16.0,5.0,36.0,16.0
MONTEZUMA,154,-15.149911428571428,-42.49314772727273,14.0,Baixo,Mata Atlântica,Set,16.0,6.0,6.0,16.0,5.0,14.0,15.0,16.0,20.0,14.0,26.0
LAGOA DA PRATA,152,-20.02536092105263,-45.50587513157896,13.82,Baixo,Cerrado,Set,9.0,8.0,11.0,6.0,22.0,10.0,9.0,12.0,11.0,33.0,21.0
FRANCISCÓPOLIS,152,-18.005350197368422,-42.02038894736842,13.82,Baixo,Mata Atlântica,Out,14.0,1.0,3.0,2.0,46.0,6.0,29.0,5.0,18.0,18.0,10.0
GURINHATÃ,151,-19.07651682119205,-49.80628072847682,13.73,Baixo,Cerrado,Set,11.0,8.0,8.0,9.0,13.0,15.0,31.0,1.0,4.0,43.0,8.0
VERÍSSIMO,148,-19.647570472972973,-48.33958027027027,13.45,Baixo,Cerrado,Set,4.0,15.0,16.0,10.0,31.0,20.0,16.0,4.0,10.0,20.0,2.0
ITABIRA,148,-19.5983795945946,-43.294580810810814,13.45,Baixo,Mata Atlântica,Set,18.0,8.0,15.0,3.0,19.0,12.0,10.0,19.0,6.0,24.0,14.0
BOA ESPERANÇA,148,-21.07419668918919,-45.64016081081081,13.45,Baixo,Cerrado,Set,13.0,10.0,17.0,2.0,16.0,18.0,11.0,5.0,17.0,16.0,23.0
CAMPOS GERAIS,146,-21.25898191780822,-45.728501164383566,13.27,Baixo,Mata Atlântica,Set,7.0,5.0,5.0,9.0,19.0,11.0,15.0,7.0,16.0,21.0,31.0
SANTA LUZIA,144,-19.74718736111111,-43.84055798611112,13.09,Baixo,Cerrado,Set,11.0,13.0,25.0,1.0,27.0,5.0,9.0,4.0,3.0,41.0,5.0
BERIZAL,144,-15.685429097222222,-41.77320159722222,13.09,Baixo,Mata Atlântica,Set,13.0,0.0,3.0,5.0,10.0,12.0,19.0,12.0,9.0,15.0,46.0
LAVRAS,144,-21.253875069444447,-45.05683916666666,13.09,Baixo,Mata Atlântica,Set,4.0,8.0,45.0,3.0,7.0,10.0,18.0,7.0,9.0,13.0,20.0
SANTA CRUZ DE SALINAS,144,-16.041219583333334,-41.75093270833334,13.09,Baixo,Mata Atlântica,Set,36.0,5.0,4.0,6.0,6.0,4.0,14.0,10.0,21.0,11.0,27.0
CAPELINHA,143,-17.712534405594408,-42.49616951048951,13.0,Baixo,Mata Atlântica,Set,18.0,5.0,5.0,4.0,19.0,4.0,20.0,20.0,27.0,9.0,12.0
CAMPOS ALTOS,142,-19.587774295774647,-46.18072753521127,12.91,Baixo,Cerrado,Set,11.0,9.0,15.0,3.0,16.0,14.0,22.0,25.0,9.0,11.0,7.0
ARAPORÃ,138,-18.49109746376812,-49.171791159420295,12.55,Baixo,Mata Atlântica,Set,15.0,20.0,12.0,4.0,32.0,7.0,20.0,2.0,3.0,19.0,4.0
MANHUAÇU,137,-20.209031751824817,-42.09483992700729,12.45,Baixo,Mata Atlântica,Set,10.0,12.0,16.0,5.0,20.0,10.0,8.0,11.0,10.0,16.0,19.0
BONFINÓPOLIS DE MINAS,137,-16.478058175182483,-46.216219635036495,12.45,Baixo,Cerrado,Ago,14.0,21.0,29.0,7.0,10.0,7.0,10.0,18.0,9.0,5.0,7.0
ROMARIA,134,-18.89547305970149,-47.53930358208955,12.18,Baixo,Cerrado,Set,12.0,10.0,19.0,9.0,11.0,9.0,13.0,10.0,4.0,30.0,7.0
RIACHO DOS MACHADOS,134,-16.052810970149253,-42.936840223880594,12.18,Baixo,Cerrado,Set,26.0,0.0,5.0,0.0,16.0,2.0,31.0,9.0,20.0,12.0,13.0
CÔNEGO MARINHO,133,-14.925434887218046,-44.61226954887218,12.09,Baixo,Cerrado,Set,27.0,10.0,2.0,1.0,3.0,1.0,33.0,13.0,6.0,28.0,9.0
ABAETÉ,133,-19.13262834586466,-45.40388842105264,12.09,Baixo,Cerrado,Set,13.0,11.0,17.0,6.0,7.0,20.0,6.0,17.0,5.0,19.0,12.0
FELIXLÂNDIA,132,-18.719193106060604,-44.937790681818186,12.0,Baixo,Cerrado,Set,2.0,3.0,21.0,22.0,10.0,14.0,14.0,12.0,7.0,11.0,16.0
CAMPINA VERDE,131,-19.48949045801527,-49.75658717557252,11.91,Baixo,Cerrado,Set,8.0,14.0,7.0,3.0,18.0,26.0,10.0,10.0,9.0,12.0,14.0
SANTO ANTÔNIO DO MONTE,131,-20.082849083969467,-45.2918606870229,11.91,Baixo,Cerrado,Set,5.0,8.0,9.0,5.0,12.0,15.0,15.0,14.0,3.0,23.0,22.0
SANTA JULIANA,131,-19.41147007633588,-47.48977381679389,11.91,Baixo,Cerrado,Set,9.0,8.0,14.0,26.0,21.0,10.0,15.0,10.0,2.0,11.0,5.0
AÇUCENA,131,-19.028847404580155,-42.40828114503817,11.91,Baixo,Mata Atlântica,Out,30.0,3.0,14.0,8.0,27.0,6.0,14.0,7.0,1.0,20.0,1.0
CORAÇÃO DE JESUS,131,-16.661345725190838,-44.35953702290077,11.91,Baixo,Cerrado,Set,28.0,3.0,4.0,10.0,10.0,11.0,36.0,10.0,6.0,6.0,7.0
NOVA LIMA,131,-20.071959923664124,-43.89479938931298,11.91,Baixo,Mata Atlântica,Set,3.0,6.0,12.0,2.0,18.0,26.0,13.0,8.0,5.0,26.0,12.0
MONTALVÂNIA,129,-14.464928139534884,-44.48253062015504,11.73,Baixo,Cerrado,Set,7.0,8.0,2.0,5.0,25.0,25.0,25.0,13.0,5.0,4.0,10.0
CURRAL DE DENTRO,128,-15.851668828125,-41.771472578125,11.64,Baixo,Mata Atlântica,Out,32.0,21.0,3.0,8.0,1.0,11.0,14.0,4.0,13.0,5.0,16.0
SÃO GOTARDO,128,-19.327343125,-45.99533703125,11.64,Baixo,Cerrado,Set,12.0,12.0,9.0,4.0,20.0,15.0,20.0,4.0,5.0,13.0,14.0
CÓRREGO DANTA,127,-19.757655433070862,-45.98112590551181,11.55,Baixo,Cerrado,Set,6.0,10.0,13.0,4.0,6.0,7.0,33.0,14.0,6.0,17.0,11.0
PITANGUI,127,-19.6247574015748,-44.88701551181102,11.55,Baixo,Mata Atlântica,Set,7.0,10.0,26.0,6.0,9.0,22.0,12.0,7.0,4.0,11.0,13.0
ITURAMA,126,-19.69523468253968,-50.35691515873016,11.45,Baixo,Mata Atlântica,Set,2.0,2.0,18.0,7.0,5.0,22.0,15.0,4.0,4.0,38.0,9.0
MUTUM,122,-19.933462213114755,-41.43750754098361,11.09,Baixo,Mata Atlântica,Set,12.0,2.0,4.0,3.0,28.0,11.0,7.0,10.0,11.0,9.0,25.0
CATUJI,122,-17.37501106557377,-41.496397213114754,11.09,Baixo,Mata Atlântica,Out,17.0,1.0,4.0,11.0,13.0,11.0,21.0,12.0,24.0,2.0,6.0
MEDEIROS,122,-19.97462983606557,-46.33712172131148,11.09,Baixo,Cerrado,Set,9.0,9.0,12.0,6.0,31.0,11.0,7.0,1.0,11.0,18.0,7.0
ITAPECERICA,121,-20.45329223140496,-45.10039454545455,11.0,Baixo,Mata Atlântica,Ago,10.0,11.0,9.0,2.0,16.0,14.0,15.0,20.0,7.0,10.0,7.0
NOVA SERRANA,120,-19.857724583333333,-44.980086750000005,10.91,Baixo,Cerrado,Ago,8.0,7.0,5.0,3.0,8.0,16.0,17.0,8.0,6.0,27.0,15.0
LAGOA SANTA,119,-19.64233184873949,-43.87472403361345,10.82,Baixo,Cerrado,Set,6.0,7.0,22.0,4.0,27.0,7.0,6.0,3.0,2.0,21.0,14.0
BETIM,119,-19.9576724369748,-44.20366571428571,10.82,Baixo,Mata Atlântica,Set,1.0,8.0,13.0,1.0,13.0,18.0,9.0,10.0,7.0,32.0,7.0
ANTÔNIO DIAS,119,-19.594679159663865,-42.848553109243696,10.82,Baixo,Mata Atlântica,Set,11.0,15.0,4.0,2.0,19.0,7.0,8.0,7.0,1.0,44.0,1.0
MATA VERDE,118,-15.78020593220339,-40.68739940677966,10.73,Baixo,Mata Atlântica,Out,37.0,5.0,4.0,5.0,5.0,3.0,24.0,10.0,14.0,6.0,5.0
PAI PEDRO,118,-15.430022627118644,-43.16280881355932,10.73,Baixo,Caatinga,Nov,11.0,3.0,4.0,2.0,7.0,8.0,8.0,17.0,23.0,6.0,29.0
ITAÚNA,117,-20.07402641025641,-44.5570347008547,10.64,Baixo,Mata Atlântica,Set,4.0,9.0,12.0,1.0,6.0,22.0,9.0,12.0,8.0,21.0,13.0
SANTA BÁRBARA,117,-20.025778205128205,-43.43750504273504,10.64,Baixo,Mata Atlântica,Set,4.0,7.0,15.0,2.0,7.0,15.0,16.0,3.0,0.0,45.0,3.0
VARZELÂNDIA,117,-15.639887777777778,-43.91956726495727,10.64,Baixo,Caatinga,Set,5.0,3.0,0.0,3.0,2.0,12.0,22.0,12.0,20.0,13.0,25.0
CAETÉ,117,-19.867743418803418,-43.63857572649572,10.64,Baixo,Mata Atlântica,Set,5.0,8.0,12.0,4.0,17.0,4.0,9.0,9.0,7.0,27.0,15.0
INDIANÓPOLIS,115,-18.96603017391304,-47.855232,10.45,Baixo,Cerrado,Set,15.0,6.0,21.0,8.0,8.0,7.0,13.0,7.0,6.0,12.0,12.0
CARMO DA CACHOEIRA,114,-21.449360701754387,-45.19814622807018,10.36,Baixo,Mata Atlântica,Set,1.0,6.0,11.0,3.0,10.0,14.0,18.0,12.0,12.0,16.0,11.0
SÃO JOÃO DAS MISSÕES,114,-14.885400263157894,-44.20227684210526,10.36,Baixo,Cerrado,Set,9.0,3.0,2.0,8.0,8.0,15.0,17.0,10.0,19.0,9.0,14.0
CARNEIRINHO,113,-19.74010150442478,-50.845041769911504,10.27,Baixo,Mata Atlântica,Ago,8.0,17.0,17.0,6.0,11.0,19.0,15.0,6.0,11.0,1.0,2.0
SÃO PEDRO DO SUAÇUÍ,113,-18.320047876106194,-42.576885840707966,10.27,Baixo,Mata Atlântica,Out,29.0,9.0,6.0,2.0,17.0,4.0,5.0,19.0,3.0,14.0,5.0
PAPAGAIOS,112,-19.42238151785714,-44.72811544642857,10.18,Baixo,Cerrado,Set,2.0,7.0,17.0,3.0,10.0,12.0,17.0,9.0,5.0,24.0,6.0
PIRAJUBA,111,-19.92827720720721,-48.670808288288285,10.09,Baixo,Cerrado,Set,1.0,10.0,2.0,7.0,4.0,29.0,42.0,0.0,0.0,12.0,4.0
ITACAMBIRA,111,-16.968409189189188,-43.34386234234234,10.09,Baixo,Cerrado,Out,21.0,2.0,3.0,2.0,2.0,3.0,11.0,16.0,21.0,3.0,27.0
TURMALINA,111,-17.218612882882883,-42.85437657657658,10.09,Baixo,Cerrado,Out,29.0,0.0,31.0,2.0,18.0,8.0,2.0,3.0,8.0,7.0,3.0
CAPINÓPOLIS,110,-18.69684990909091,-49.61128981818182,10.0,Baixo,Cerrado,Set,10.0,19.0,11.0,13.0,12.0,16.0,9.0,1.0,1.0,3.0,15.0
BOM JESUS DO GALHO,110,-19.74092327272728,-42.363221,10.0,Baixo,Mata Atlântica,Set,10.0,10.0,12.0,2.0,15.0,13.0,9.0,6.0,4.0,19.0,10.0
PINTÓPOLIS,110,-16.045275,-45.175177818181815,10.0,Baixo,Cerrado,Out,21.0,5.0,14.0,3.0,15.0,7.0,17.0,2.0,9.0,6.0,11.0
MARTINHO CAMPOS,110,-19.449503454545457,-45.152491454545455,10.0,Baixo,Cerrado,Set,3.0,5.0,9.0,5.0,4.0,15.0,19.0,6.0,4.0,19.0,21.0
CARMO DO PARANAÍBA,110,-18.965035909090908,-46.262502363636365,10.0,Baixo,Cerrado,Set,8.0,10.0,12.0,3.0,14.0,23.0,10.0,5.0,5.0,12.0,8.0
CARBONITA,110,-17.493525363636365,-43.02893218181818,10.0,Baixo,Cerrado,Set,17.0,9.0,5.0,2.0,17.0,9.0,5.0,12.0,7.0,13.0,14.0
RIBEIRÃO DAS NEVES,109,-19.776099357798167,-44.07282587155963,9.91,Baixo,Cerrado,Set,3.0,7.0,13.0,1.0,24.0,5.0,5.0,13.0,3.0,23.0,12.0
GUANHÃES,109,-18.82966733944954,-42.86035899082569,9.91,Baixo,Mata Atlântica,Set,23.0,2.0,13.0,0.0,24.0,6.0,6.0,4.0,0.0,26.0,5.0
NEPOMUCENO,109,-21.25989596330276,-45.26782944954128,9.91,Baixo,Mata Atlântica,Set,8.0,8.0,7.0,11.0,19.0,17.0,13.0,6.0,5.0,9.0,6.0
SÃO GONÇALO DO SAPUCAÍ,109,-21.911112110091743,-45.61063486238532,9.91,Baixo,Mata Atlântica,Set,7.0,17.0,23.0,4.0,9.0,9.0,3.0,11.0,2.0,13.0,11.0
COUTO DE MAGALHÃES DE MINAS,108,-18.113437407407407,-43.42147416666667,9.82,Baixo,Cerrado,Out,27.0,4.0,23.0,4.0,9.0,8.0,6.0,9.0,2.0,8.0,8.0
ABADIA DOS DOURADOS,108,-18.34536444444445,-47.47611583333333,9.82,Baixo,Cerrado,Set,6.0,14.0,18.0,3.0,20.0,11.0,12.0,8.0,2.0,7.0,7.0
UBÁ,107,-21.11221504672897,-42.95154345794393,9.73,Baixo,Mata Atlântica,Set,5.0,11.0,12.0,0.0,11.0,9.0,8.0,5.0,2.0,30.0,14.0
PIRANGA,106,-20.62888047169812,-43.31087745283019,9.64,Baixo,Mata Atlântica,Out,2.0,2.0,12.0,7.0,7.0,8.0,12.0,8.0,6.0,22.0,20.0
CHAPADA DO NORTE,106,-17.20432679245283,-42.31556896226415,9.64,Baixo,Mata Atlântica,Set,29.0,2.0,5.0,10.0,8.0,3.0,15.0,7.0,7.0,7.0,13.0
JORDÂNIA,105,-15.874172000000002,-40.37430285714286,9.55,Baixo,Mata Atlântica,Set,18.0,4.0,2.0,18.0,13.0,7.0,15.0,5.0,12.0,6.0,5.0
COMENDADOR GOMES,104,-19.67679375,-48.992015865384616,9.45,Baixo,Cerrado,Set,10.0,12.0,7.0,7.0,11.0,4.0,18.0,5.0,20.0,9.0,1.0
LADAINHA,104,-17.605583653846153,-41.84555951923077,9.45,Baixo,Mata Atlântica,Nov,31.0,9.0,4.0,7.0,22.0,4.0,11.0,3.0,7.0,3.0,3.0
BALDIM,104,-19.301333173076923,-43.86522711538461,9.45,Baixo,Cerrado,Set,1.0,7.0,6.0,1.0,18.0,11.0,17.0,15.0,2.0,13.0,13.0
ESPINOSA,103,-14.84413640776699,-42.97568281553398,9.36,Baixo,Caatinga,Out,17.0,6.0,2.0,1.0,12.0,7.0,8.0,9.0,15.0,11.0,15.0
ALPINÓPOLIS,103,-20.82586805825243,-46.361548640776704,9.36,Baixo,Cerrado,Set,0.0,7.0,26.0,3.0,8.0,13.0,9.0,4.0,6.0,23.0,4.0
CRISTAIS,102,-20.822453921568627,-45.55405637254902,9.27,Baixo,Cerrado,Ago,0.0,8.0,19.0,2.0,17.0,8.0,9.0,4.0,6.0,12.0,17.0
CRISTÁLIA,102,-16.685142450980393,-42.810123235294114,9.27,Baixo,Cerrado,Out,13.0,1.0,2.0,4.0,13.0,18.0,5.0,7.0,20.0,7.0,12.0
MACHADO,102,-21.6633868627451,-45.926458137254905,9.27,Baixo,Mata Atlântica,Set,1.0,12.0,24.0,5.0,7.0,1.0,12.0,6.0,3.0,26.0,5.0
NANUQUE,101,-17.756171782178217,-40.46005564356435,9.18,Baixo,Mata Atlântica,Out,16.0,1.0,2.0,15.0,4.0,13.0,6.0,5.0,18.0,13.0,8.0
BAEPENDI,101,-22.043742772277227,-44.81581386138614,9.18,Baixo,Mata Atlântica,Set,1.0,6.0,20.0,2.0,11.0,16.0,11.0,6.0,3.0,17.0,8.0
RIO ACIMA,101,-20.101808514851484,-43.773033069306926,9.18,Baixo,Mata Atlântica,Set,2.0,6.0,13.0,4.0,23.0,6.0,18.0,6.0,3.0,15.0,5.0
VARGINHA,101,-21.56015188118812,-45.43093683168317,9.18,Baixo,Mata Atlântica,Ago,0.0,4.0,13.0,5.0,15.0,12.0,15.0,13.0,1.0,17.0,6.0
ELÓI MENDES,101,-21.60810950495049,-45.5792,9.18,Baixo,Mata Atlântica,Ago,1.0,6.0,15.0,4.0,3.0,13.0,20.0,10.0,8.0,13.0,8.0
IBIAÍ,100,-16.8206959,-44.7817706,9.09,Baixo,Cerrado,Out,36.0,1.0,2.0,6.0,19.0,8.0,11.0,1.0,4.0,8.0,4.0
CONGONHAS,100,-20.524552600000003,-43.8648849,9.09,Baixo,Mata Atlântica,Set,3.0,11.0,17.0,3.0,13.0,6.0,15.0,3.0,2.0,16.0,11.0
IPIAÇU,100,-18.7180251,-49.917246000000006,9.09,Baixo,Mata Atlântica,Set,13.0,18.0,6.0,24.0,29.0,0.0,3.0,5.0,1.0,1.0,0.0
CLÁUDIO,100,-20.420279,-44.775862,9.09,Baixo,Mata Atlântica,Set,2.0,5.0,15.0,2.0,19.0,2.0,3.0,6.0,13.0,27.0,6.0
VESPASIANO,95,-19.729938842105263,-43.94701168421053,8.64,Baixo,Cerrado,Set,7.0,6.0,19.0,3.0,19.0,8.0,4.0,6.0,12.0,8.0,3.0
JOSÉ RAYDAN,94,-18.24135393617021,-42.47123042553192,8.55,Baixo,Mata Atlântica,Out,12.0,2.0,6.0,4.0,17.0,0.0,30.0,8.0,7.0,4.0,4.0
BRASÍLIA DE MINAS,93,-16.220838279569893,-44.432057204301074,8.45,Baixo,Cerrado,Set,11.0,1.0,2.0,2.0,5.0,1.0,31.0,15.0,10.0,11.0,4.0
RESENDE COSTA,93,-20.83280032258065,-44.27638612903226,8.45,Baixo,Mata Atlântica,Set,6.0,8.0,7.0,4.0,13.0,7.0,10.0,12.0,5.0,11.0,10.0
CAMPANHA,93,-21.818175161290323,-45.41075505376344,8.45,Baixo,Mata Atlântica,Set,10.0,6.0,2.0,5.0,5.0,4.0,13.0,9.0,6.0,13.0,20.0
PRATINHA,92,-19.762535869565216,-46.38422673913043,8.36,Baixo,Cerrado,Set,4.0,17.0,5.0,4.0,12.0,13.0,7.0,10.0,5.0,6.0,9.0
LEOPOLDINA,92,-21.54869804347826,-42.62967945652174,8.36,Baixo,Mata Atlântica,Set,2.0,7.0,17.0,5.0,17.0,3.0,8.0,9.0,3.0,19.0,2.0
ARCOS,92,-20.238382826086955,-45.58302967391304,8.36,Baixo,Cerrado,Ago,4.0,15.0,4.0,3.0,12.0,7.0,11.0,4.0,7.0,9.0,16.0
ESTRELA DO SUL,92,-18.68709760869565,-47.73563945652174,8.36,Baixo,Cerrado,Set,10.0,11.0,13.0,10.0,8.0,17.0,5.0,3.0,2.0,3.0,10.0
CORONEL FABRICIANO,92,-19.481298804347823,-42.662554021739126,8.36,Baixo,Mata Atlântica,Set,9.0,1.0,7.0,0.0,33.0,7.0,8.0,9.0,1.0,15.0,2.0
TAQUARAÇU DE MINAS,91,-19.646069230769232,-43.68644384615385,8.27,Baixo,Cerrado,Set,7.0,2.0,8.0,0.0,17.0,5.0,9.0,2.0,8.0,23.0,10.0
AIMORÉS,91,-19.673915054945056,-41.23922384615385,8.27,Baixo,Mata Atlântica,Out,8.0,3.0,6.0,4.0,24.0,4.0,17.0,9.0,3.0,3.0,10.0
FREI INOCÊNCIO,90,-18.548645222222223,-41.85195422222222,8.18,Baixo,Mata Atlântica,Set,11.0,3.0,5.0,2.0,18.0,0.0,36.0,4.0,2.0,9.0,0.0
PADRE CARVALHO,90,-16.331826444444445,-42.575459555555554,8.18,Baixo,Cerrado,Set,1.0,0.0,3.0,1.0,17.0,3.0,7.0,20.0,24.0,12.0,2.0
BOM SUCESSO,89,-21.017964494382024,-44.818317415730334,8.09,Baixo,Mata Atlântica,Set,1.0,7.0,8.0,2.0,4.0,6.0,19.0,5.0,5.0,14.0,18.0
MATEUS LEME,88,-20.03495818181818,-44.45173818181818,8.0,Baixo,Mata Atlântica,Set,0.0,9.0,16.0,0.0,16.0,6.0,11.0,6.0,0.0,10.0,14.0
RITÁPOLIS,88,-20.9763325,-44.37203295454545,8.0,Baixo,Mata Atlântica,Set,2.0,8.0,11.0,6.0,0.0,13.0,14.0,7.0,11.0,9.0,7.0
BELO VALE,87,-20.435255632183907,-44.04684712643678,7.91,Baixo,Mata Atlântica,Set,2.0,2.0,5.0,1.0,26.0,1.0,14.0,5.0,5.0,13.0,13.0
VARGEM BONITA,87,-20.43955045977012,-46.33012735632184,7.91,Baixo,Cerrado,Set,2.0,10.0,7.0,3.0,11.0,10.0,4.0,1.0,11.0,16.0,12.0
ÁGUAS FORMOSAS,86,-17.0311511627907,-41.025172325581394,7.82,Baixo,Mata Atlântica,Set,21.0,8.0,4.0,13.0,10.0,3.0,10.0,4.0,11.0,2.0,0.0
INHAPIM,86,-19.504207093023258,-41.99877093023256,7.82,Baixo,Mata Atlântica,Set,7.0,8.0,1.0,1.0,22.0,4.0,14.0,13.0,5.0,8.0,3.0
MANTENA,85,-18.69353858823529,-41.062206823529415,7.73,Baixo,Mata Atlântica,Out,13.0,0.0,0.0,3.0,22.0,12.0,8.0,5.0,3.0,16.0,3.0
GUAPÉ,85,-20.760522705882355,-45.930720588235296,7.73,Baixo,Cerrado,Ago,0.0,2.0,19.0,0.0,4.0,3.0,13.0,6.0,9.0,19.0,10.0
SANTA HELENA DE MINAS,85,-16.871444352941175,-40.62264435294118,7.73,Baixo,Mata Atlântica,Set,16.0,2.0,3.0,12.0,10.0,7.0,6.0,11.0,2.0,12.0,4.0
IPUIÚNA,84,-21.957776785714287,-46.10016273809524,7.64,Baixo,Mata Atlântica,Ago,7.0,6.0,4.0,5.0,0.0,10.0,0.0,3.0,11.0,22.0,16.0
DOM JOAQUIM,84,-18.92089595238096,-43.25409797619048,7.64,Baixo,Mata Atlântica,Out,2.0,10.0,16.0,0.0,20.0,0.0,1.0,17.0,5.0,8.0,5.0
CALDAS,84,-21.924539166666666,-46.43302619047619,7.64,Baixo,Mata Atlântica,Set,3.0,15.0,4.0,1.0,3.0,17.0,19.0,2.0,4.0,7.0,9.0
CRISÓLITA,84,-17.24153011904762,-41.01709523809524,7.64,Baixo,Mata Atlântica,Out,20.0,3.0,5.0,14.0,5.0,3.0,18.0,6.0,4.0,3.0,3.0
PADRE PARAÍSO,83,-17.03940421686747,-41.53768469879518,7.55,Baixo,Mata Atlântica,Set,13.0,7.0,5.0,7.0,7.0,0.0,15.0,12.0,1.0,4.0,12.0
MADRE DE DEUS DE MINAS,82,-21.46367048780488,-44.31527024390244,7.45,Baixo,Mata Atlântica,Set,2.0,8.0,2.0,4.0,10.0,10.0,5.0,6.0,3.0,20.0,12.0
