Municipio,Numero_Focos,lat,lon,IMRI,Classificação_IMRI,Bioma_Mais_Afetado,Mes_Mais_Afetado,Focos 2015,Focos 2016,Focos 2017,Focos 2018,Focos 2019,Focos 2020,Focos 2021,Focos 2022,Focos 2023,Focos 2024,Focos 2025
ITAMARANDIBA,478,-17.85843023012552,-42.85017836820084,43.45,Baixo,Cerrado,Set,38.0,6.0,41.0,20.0,80.0,35.0,37.0,48.0,33.0,78.0,62.0
PATOS DE MINAS,465,-18.61846165591398,-46.54384498924731,42.27,Baixo,Cerrado,Set,24.0,63.0,41.0,30.0,31.0,68.0,55.0,42.0,34.0,53.0,24.0
SÃO ROQUE DE MINAS,462,-20.19453863636364,-46.58298731601732,42.0,Baixo,Cerrado,Set,14.0,103.0,39.0,14.0,25.0,75.0,14.0,21.0,43.0,62.0,52.0
FORMOSO,455,-15.15801712087912,-46.17989325274725,41.36,Baixo,Cerrado,Set,38.0,30.0,55.0,3.0,42.0,28.0,70.0,69.0,40.0,23.0,57.0
CONCEIÇÃO DAS ALAGOAS,452,-19.931664336283184,-48.331066814159286,41.09,Baixo,Cerrado,Set,25.0,71.0,70.0,18.0,27.0,93.0,38.0,32.0,10.0,38.0,30.0
DELFINÓPOLIS,441,-20.345072925170065,-46.721290113378686,40.09,Baixo,Cerrado,Ago,30.0,58.0,59.0,23.0,53.0,67.0,32.0,19.0,19.0,58.0,23.0
OURO PRETO,438,-20.412020410958903,-43.62824776255708,39.82,Baixo,Mata Atlântica,Set,19.0,27.0,113.0,18.0,43.0,22.0,62.0,24.0,11.0,81.0,18.0
BRASILÂNDIA DE MINAS,432,-16.955688518518517,-45.95933469907408,39.27,Baixo,Cerrado,Set,39.0,41.0,18.0,6.0,20.0,82.0,31.0,49.0,21.0,51.0,74.0
CORINTO,430,-18.276166511627903,-44.57344118604652,39.09,Baixo,Cerrado,Set,52.0,17.0,26.0,18.0,39.0,23.0,56.0,35.0,47.0,63.0,54.0
VAZANTE,427,-17.829902576112413,-46.82223976580796,38.82,Baixo,Cerrado,Set,22.0,37.0,35.0,14.0,27.0,35.0,83.0,35.0,21.0,32.0,86.0
ARAGUARI,424,-18.57739823113208,-48.210815518867925,38.55,Baixo,Cerrado,Set,21.0,29.0,64.0,16.0,35.0,76.0,26.0,17.0,15.0,102.0,23.0
SÃO JOÃO DEL REI,423,-21.25032669030733,-44.256482695035466,38.45,Baixo,Mata Atlântica,Set,27.0,38.0,57.0,23.0,37.0,37.0,32.0,62.0,22.0,50.0,38.0
VÁRZEA DA PALMA,421,-17.532550023752968,-44.71210577197149,38.27,Baixo,Cerrado,Set,3.0,13.0,26.0,11.0,57.0,49.0,45.0,62.0,39.0,48.0,68.0
MONTE ALEGRE DE MINAS,418,-18.82719887559809,-48.866382799043066,38.0,Baixo,Cerrado,Set,45.0,48.0,26.0,25.0,43.0,57.0,44.0,13.0,4.0,100.0,13.0
BOCAIÚVA,417,-17.395650695443646,-43.610548848920864,37.91,Baixo,Cerrado,Set,89.0,20.0,21.0,7.0,57.0,42.0,76.0,14.0,34.0,39.0,18.0
GRÃO MOGOL,406,-16.408392561576356,-42.97129386699508,36.91,Baixo,Cerrado,Out,82.0,24.0,15.0,10.0,16.0,15.0,15.0,48.0,87.0,28.0,66.0
GOVERNADOR VALADARES,398,-18.798091005025125,-41.99473550251256,36.18,Baixo,Mata Atlântica,Set,25.0,17.0,22.0,15.0,80.0,29.0,75.0,20.0,20.0,74.0,21.0
SANTA VITÓRIA,396,-18.99589603535353,-50.300911262626265,36.0,Baixo,Cerrado,Set,32.0,70.0,66.0,18.0,74.0,27.0,15.0,10.0,21.0,48.0,15.0
AUGUSTO DE LIMA,387,-18.09634010335917,-44.1687222997416,35.18,Baixo,Cerrado,Set,36.0,7.0,26.0,16.0,46.0,24.0,37.0,69.0,24.0,69.0,33.0
PERDIZES,383,-19.429490261096607,-47.20013436031332,34.82,Baixo,Cerrado,Set,15.0,22.0,57.0,32.0,58.0,50.0,54.0,29.0,25.0,26.0,15.0
ITUIUTABA,380,-18.97047821052632,-49.547537526315786,34.55,Baixo,Cerrado,Set,21.0,8.0,20.0,41.0,39.0,63.0,70.0,24.0,27.0,38.0,29.0
PEDRAS DE MARIA DA CRUZ,379,-15.581137704485489,-44.351529630606855,34.45,Baixo,Cerrado,Out,72.0,14.0,28.0,66.0,6.0,65.0,30.0,29.0,8.0,8.0,53.0
GUARDA-MOR,377,-17.711690636604775,-47.082251564986734,34.27,Baixo,Cerrado,Set,43.0,42.0,48.0,42.0,28.0,44.0,50.0,16.0,13.0,32.0,19.0
TRÊS MARIAS,375,-18.27342189333333,-45.058622426666666,34.09,Baixo,Cerrado,Set,25.0,28.0,37.0,9.0,23.0,31.0,77.0,18.0,27.0,48.0,52.0
SÃO ROMÃO,374,-16.34378689839572,-45.31285291443851,34.0,Baixo,Cerrado,Set,29.0,40.0,20.0,20.0,48.0,5.0,43.0,49.0,26.0,26.0,68.0
JANAÚBA,369,-15.843924607046072,-43.37867035230352,33.55,Baixo,Cerrado,Out,13.0,7.0,8.0,17.0,19.0,54.0,44.0,41.0,65.0,30.0,71.0
SÃO FRANCISCO,364,-15.897074642857143,-44.87117071428571,33.09,Baixo,Cerrado,Out,50.0,14.0,10.0,25.0,39.0,110.0,23.0,35.0,30.0,16.0,12.0
COMERCINHO,356,-16.28918443820225,-41.7918033988764,32.36,Baixo,Mata Atlântica,Set,50.0,15.0,19.0,30.0,16.0,35.0,46.0,39.0,40.0,33.0,33.0
TAIOBEIRAS,348,-15.821516436781607,-42.02759298850575,31.64,Baixo,Cerrado,Set,44.0,28.0,33.0,10.0,15.0,18.0,44.0,43.0,41.0,31.0,41.0
MANGA,344,-14.63782941860465,-43.99154593023256,31.27,Baixo,Caatinga,Out,45.0,2.0,33.0,12.0,53.0,28.0,50.0,48.0,13.0,31.0,29.0
SERRA DO SALITRE,344,-19.169792848837208,-46.65893290697674,31.27,Baixo,Cerrado,Set,17.0,25.0,32.0,21.0,22.0,42.0,78.0,23.0,9.0,44.0,31.0
CARAÍ,338,-17.186313431952662,-41.51934210059172,30.73,Baixo,Mata Atlântica,Out,102.0,10.0,10.0,12.0,22.0,21.0,55.0,31.0,55.0,13.0,7.0
SÃO JOÃO DO PARAÍSO,337,-15.398009584569737,-41.92809632047477,30.64,Baixo,Mata Atlântica,Out,49.0,23.0,5.0,11.0,24.0,27.0,27.0,30.0,33.0,46.0,62.0
MONTES CLAROS,335,-16.569045313432834,-43.911118477611936,30.45,Baixo,Cerrado,Out,65.0,14.0,6.0,21.0,27.0,31.0,28.0,30.0,36.0,24.0,53.0
MEDINA,331,-16.28473160120846,-41.53646918429003,30.09,Baixo,Mata Atlântica,Set,66.0,10.0,40.0,24.0,17.0,20.0,44.0,52.0,31.0,11.0,16.0
OLHOS-D'ÁGUA,324,-17.486962067901235,-43.64894543209877,29.45,Baixo,Cerrado,Set,19.0,11.0,27.0,22.0,9.0,20.0,60.0,19.0,24.0,51.0,62.0
POMPÉU,323,-19.1498685758514,-44.92266560371517,29.36,Baixo,Cerrado,Set,22.0,28.0,27.0,10.0,29.0,21.0,48.0,33.0,35.0,34.0,36.0
LAGOA GRANDE,321,-17.680285140186918,-46.50139919003116,29.18,Baixo,Cerrado,Ago,20.0,39.0,14.0,30.0,75.0,12.0,34.0,27.0,22.0,19.0,29.0
PEDRA AZUL,312,-15.923292467948718,-41.20452458333333,28.36,Baixo,Mata Atlântica,Out,82.0,9.0,9.0,26.0,11.0,23.0,59.0,15.0,40.0,20.0,18.0
JUIZ DE FORA,311,-21.73859736334405,-43.47316871382637,28.27,Baixo,Mata Atlântica,Set,7.0,46.0,36.0,18.0,49.0,42.0,8.0,29.0,21.0,43.0,12.0
ESMERALDAS,311,-19.727526752411578,-44.27622038585209,28.27,Baixo,Cerrado,Set,34.0,25.0,45.0,11.0,46.0,26.0,23.0,11.0,11.0,61.0,18.0
GAMELEIRAS,310,-14.968160741935485,-43.306970774193545,28.18,Baixo,Caatinga,Set,15.0,11.0,3.0,12.0,11.0,8.0,146.0,35.0,56.0,8.0,5.0
MONTE CARMELO,304,-18.74629694078948,-47.45927733552632,27.64,Baixo,Cerrado,Set,15.0,43.0,43.0,16.0,38.0,37.0,22.0,20.0,28.0,26.0,16.0
PORTEIRINHA,297,-15.66644383838384,-43.07818387205387,27.0,Baixo,Caatinga,Out,41.0,20.0,28.0,13.0,23.0,33.0,19.0,51.0,43.0,10.0,16.0
JOAÍMA,296,-16.830183986486485,-41.063254324324326,26.91,Baixo,Mata Atlântica,Out,73.0,18.0,8.0,13.0,26.0,23.0,25.0,18.0,41.0,29.0,22.0
INDAIABIRA,296,-15.546274864864865,-42.12533540540541,26.91,Baixo,Cerrado,Set,44.0,8.0,34.0,28.0,11.0,18.0,24.0,26.0,31.0,44.0,28.0
VERDELÂNDIA,291,-15.503889484536083,-43.62466804123711,26.45,Baixo,Cerrado,Set,20.0,1.0,6.0,22.0,17.0,50.0,61.0,30.0,41.0,18.0,25.0
MONJOLOS,288,-18.42102590277777,-43.96267996527777,26.18,Baixo,Cerrado,Set,14.0,21.0,18.0,11.0,20.0,27.0,29.0,26.0,18.0,54.0,50.0
JUVENÍLIA,282,-14.365462482269503,-43.96744411347518,25.64,Baixo,Cerrado,Out,73.0,12.0,27.0,3.0,34.0,12.0,66.0,16.0,26.0,1.0,12.0
RIO VERMELHO,281,-18.27964601423488,-43.03043003558719,25.55,Baixo,Mata Atlântica,Out,59.0,14.0,32.0,10.0,44.0,16.0,13.0,20.0,19.0,33.0,21.0
JABOTICATUBAS,279,-19.449259390681004,-43.71805107526882,25.36,Baixo,Cerrado,Set,31.0,13.0,32.0,3.0,51.0,50.0,17.0,11.0,6.0,37.0,28.0
PRESIDENTE OLEGÁRIO,277,-18.202149963898915,-46.38934339350181,25.18,Baixo,Cerrado,Set,26.0,41.0,42.0,13.0,15.0,45.0,30.0,16.0,16.0,17.0,16.0
MARIANA,276,-20.33317920289855,-43.38278695652174,25.09,Baixo,Mata Atlântica,Set,12.0,7.0,63.0,1.0,8.0,23.0,20.0,19.0,5.0,98.0,20.0
SALINAS,274,-16.13907401459854,-42.135910145985406,24.91,Baixo,Mata Atlântica,Set,42.0,11.0,11.0,24.0,14.0,22.0,15.0,22.0,43.0,37.0,33.0
PASSOS,274,-20.706633321167885,-46.60506277372263,24.91,Baixo,Cerrado,Set,10.0,13.0,55.0,12.0,45.0,45.0,40.0,5.0,6.0,38.0,5.0
LUZ,272,-19.84903150735294,-45.682522647058825,24.73,Baixo,Cerrado,Set,1.0,58.0,16.0,5.0,13.0,23.0,31.0,35.0,20.0,45.0,25.0
GOUVEIA,271,-18.519527785977857,-43.86089121771218,24.64,Baixo,Cerrado,Set,25.0,13.0,15.0,7.0,26.0,30.0,36.0,20.0,13.0,29.0,57.0
CONCEIÇÃO DO MATO DENTRO,263,-18.91109060836502,-43.5170972243346,23.91,Baixo,Mata Atlântica,Set,8.0,24.0,37.0,6.0,31.0,18.0,25.0,23.0,17.0,50.0,24.0
SERRO,260,-18.517165923076924,-43.40967234615385,23.64,Baixo,Mata Atlântica,Set,27.0,12.0,16.0,10.0,17.0,15.0,36.0,50.0,6.0,25.0,46.0
CAPITÃO ENÉAS,259,-16.12788451737452,-43.66516297297297,23.55,Baixo,Cerrado,Set,12.0,4.0,3.0,8.0,24.0,19.0,35.0,33.0,47.0,39.0,35.0
BAMBUÍ,259,-20.11728629343629,-46.02097841698841,23.55,Baixo,Cerrado,Set,16.0,37.0,12.0,18.0,17.0,20.0,41.0,29.0,24.0,22.0,23.0
FRANCISCO SÁ,259,-16.389117876447877,-43.5167738996139,23.55,Baixo,Cerrado,Set,19.0,3.0,9.0,15.0,15.0,20.0,27.0,44.0,29.0,37.0,41.0
SANTA MARIA DO SUAÇUÍ,257,-18.269442645914395,-42.32804155642023,23.36,Baixo,Mata Atlântica,Set,27.0,14.0,2.0,8.0,55.0,4.0,41.0,15.0,37.0,31.0,23.0
FERROS,253,-19.22631494071146,-42.96364972332015,23.0,Baixo,Mata Atlântica,Set,65.0,18.0,12.0,0.0,43.0,3.0,31.0,10.0,14.0,47.0,10.0
SÃO JOÃO DA PONTE,251,-15.855877729083666,-43.81046430278885,22.82,Baixo,Cerrado,Set,16.0,1.0,1.0,11.0,15.0,6.0,44.0,19.0,18.0,14.0,106.0
JACINTO,249,-16.099066947791165,-40.341927510040165,22.64,Baixo,Mata Atlântica,Out,76.0,3.0,10.0,23.0,13.0,4.0,36.0,23.0,34.0,9.0,18.0
SANTANA DE PIRAPAMA,249,-18.82535429718876,-43.85334309236948,22.64,Baixo,Cerrado,Set,18.0,24.0,20.0,23.0,25.0,17.0,25.0,30.0,10.0,31.0,26.0
SANTA FÉ DE MINAS,245,-16.670736571428574,-45.550509591836736,22.27,Baixo,Cerrado,Set,49.0,19.0,17.0,9.0,17.0,13.0,33.0,42.0,11.0,19.0,16.0
RUBELITA,240,-16.368954583333334,-42.189049,21.82,Baixo,Mata Atlântica,Out,15.0,5.0,15.0,32.0,18.0,11.0,14.0,37.0,35.0,18.0,40.0
CAMPO FLORIDO,239,-19.74730870292887,-48.64941573221757,21.73,Baixo,Cerrado,Set,17.0,23.0,31.0,3.0,24.0,26.0,61.0,4.0,2.0,47.0,1.0
MALACACHETA,238,-17.850103865546217,-42.16868176470588,21.64,Baixo,Mata Atlântica,Out,41.0,3.0,9.0,3.0,69.0,5.0,41.0,24.0,14.0,22.0,7.0
RIO PARANAÍBA,238,-19.254371554621848,-46.30342390756302,21.64,Baixo,Cerrado,Set,20.0,46.0,17.0,19.0,12.0,37.0,12.0,26.0,7.0,27.0,15.0
BANDEIRA,238,-15.865548655462185,-40.59833731092437,21.64,Baixo,Mata Atlântica,Out,83.0,4.0,2.0,30.0,14.0,8.0,67.0,6.0,19.0,2.0,3.0
CARLOS CHAGAS,237,-17.694574725738395,-40.83443907172995,21.55,Baixo,Mata Atlântica,Out,53.0,4.0,0.0,9.0,28.0,12.0,44.0,23.0,13.0,21.0,30.0
CARATINGA,236,-19.7335925,-42.14207508474576,21.45,Baixo,Mata Atlântica,Set,46.0,15.0,7.0,9.0,30.0,10.0,17.0,19.0,15.0,39.0,29.0
PIRAPORA,235,-17.34907553191489,-44.877536680851065,21.36,Baixo,Cerrado,Set,9.0,17.0,10.0,16.0,13.0,25.0,28.0,30.0,24.0,46.0,17.0
CORONEL MURTA,232,-16.589181853448274,-42.17175150862069,21.09,Baixo,Mata Atlântica,Set,31.0,24.0,18.0,25.0,15.0,17.0,43.0,15.0,23.0,8.0,13.0
LIMEIRA DO OESTE,232,-19.399006293103447,-50.68421607758621,21.09,Baixo,Mata Atlântica,Set,6.0,9.0,31.0,4.0,22.0,56.0,9.0,19.0,10.0,56.0,10.0
ARAXÁ,228,-19.62055434210526,-46.9809951754386,20.73,Baixo,Cerrado,Set,8.0,31.0,24.0,6.0,23.0,19.0,34.0,8.0,5.0,64.0,6.0
NOVO CRUZEIRO,227,-17.373992246696034,-41.968203392070485,20.64,Baixo,Mata Atlântica,Out,49.0,13.0,4.0,3.0,64.0,7.0,25.0,16.0,22.0,12.0,12.0
CONQUISTA,220,-19.901270681818183,-47.65437631818182,20.0,Baixo,Cerrado,Set,15.0,11.0,20.0,5.0,12.0,35.0,64.0,4.0,5.0,33.0,16.0
TIROS,219,-18.881340365296804,-45.80183424657534,19.91,Baixo,Cerrado,Set,10.0,15.0,33.0,21.0,12.0,19.0,48.0,25.0,18.0,10.0,8.0
BRUMADINHO,219,-20.1812898173516,-44.11267552511415,19.91,Baixo,Mata Atlântica,Set,11.0,15.0,54.0,5.0,29.0,14.0,10.0,20.0,7.0,27.0,27.0
PEDRO LEOPOLDO,218,-19.65624385321101,-44.05360839449541,19.82,Baixo,Cerrado,Set,6.0,13.0,36.0,7.0,47.0,6.0,15.0,6.0,5.0,65.0,12.0
SETE LAGOAS,213,-19.443332112676053,-44.23355746478874,19.36,Baixo,Cerrado,Set,4.0,31.0,28.0,4.0,32.0,18.0,9.0,21.0,8.0,40.0,18.0
DIVISÓPOLIS,212,-15.764652311320756,-40.88634297169811,19.27,Baixo,Mata Atlântica,Out,38.0,7.0,21.0,7.0,16.0,15.0,58.0,7.0,20.0,3.0,20.0
TUPACIGUARA,210,-18.60494247619048,-48.71730438095239,19.09,Baixo,Cerrado,Set,5.0,12.0,16.0,11.0,26.0,53.0,15.0,4.0,8.0,40.0,20.0
VIRGEM DA LAPA,210,-16.686529,-42.34974795238095,19.09,Baixo,Cerrado,Set,33.0,10.0,12.0,16.0,15.0,20.0,12.0,21.0,39.0,16.0,16.0
FORMIGA,209,-20.510373732057413,-45.52687267942584,19.0,Baixo,Cerrado,Set,4.0,10.0,14.0,7.0,20.0,27.0,37.0,10.0,15.0,42.0,23.0
ANDRELÂNDIA,207,-21.735933671497584,-44.27500396135266,18.82,Baixo,Mata Atlântica,Set,9.0,30.0,18.0,9.0,21.0,12.0,15.0,9.0,9.0,60.0,15.0
URUCUIA,204,-16.07462387254902,-45.65314284313725,18.55,Baixo,Cerrado,Set,55.0,10.0,16.0,19.0,37.0,9.0,11.0,12.0,7.0,9.0,19.0
ITABIRITO,203,-20.25178157635468,-43.80835034482759,18.45,Baixo,Mata Atlântica,Set,14.0,10.0,53.0,8.0,30.0,8.0,18.0,3.0,3.0,46.0,10.0
ITAOBIM,201,-16.564787910447762,-41.55394716417911,18.27,Baixo,Mata Atlântica,Out,55.0,9.0,29.0,17.0,10.0,20.0,6.0,18.0,13.0,11.0,13.0
SETUBINHA,198,-17.629051717171716,-42.156743939393934,18.0,Baixo,Mata Atlântica,Out,44.0,2.0,3.0,5.0,36.0,7.0,21.0,31.0,17.0,13.0,19.0
PARÁ DE MINAS,198,-19.855490404040403,-44.61208873737373,18.0,Baixo,Mata Atlântica,Set,5.0,19.0,26.0,5.0,27.0,19.0,32.0,16.0,1.0,30.0,18.0
SÃO SEBASTIÃO DO MARANHÃO,193,-18.07597134715026,-42.55073974093264,17.55,Baixo,Mata Atlântica,Out,44.0,6.0,7.0,6.0,38.0,8.0,13.0,19.0,4.0,33.0,15.0
BARBACENA,193,-21.248275699481862,-43.833775440414506,17.55,Baixo,Mata Atlântica,Set,13.0,19.0,22.0,16.0,22.0,23.0,20.0,19.0,10.0,20.0,9.0
NOVO ORIENTE DE MINAS,193,-17.18180207253886,-41.23858424870466,17.55,Baixo,Mata Atlântica,Out,55.0,11.0,8.0,7.0,17.0,8.0,29.0,14.0,23.0,3.0,18.0
LAGAMAR,191,-18.081981623036647,-46.76496958115183,17.36,Baixo,Cerrado,Out,16.0,29.0,35.0,10.0,10.0,11.0,22.0,24.0,15.0,9.0,10.0
ITAPAGIPE,190,-19.823251789473684,-49.44621015789474,17.27,Baixo,Mata Atlântica,Set,8.0,6.0,19.0,15.0,23.0,22.0,33.0,6.0,7.0,32.0,19.0
TRÊS PONTAS,190,-21.38674142105263,-45.50227736842105,17.27,Baixo,Mata Atlântica,Set,30.0,15.0,31.0,7.0,16.0,9.0,18.0,13.0,13.0,22.0,16.0
SÃO JOÃO BATISTA DO GLÓRIA,189,-20.55439100529101,-46.4128526984127,17.18,Baixo,Cerrado,Ago,13.0,19.0,33.0,9.0,14.0,25.0,17.0,6.0,12.0,24.0,17.0
ITAMBACURI,188,-18.18792159574468,-41.85729468085106,17.09,Baixo,Mata Atlântica,Set,30.0,6.0,6.0,6.0,52.0,5.0,25.0,9.0,12.0,25.0,12.0
CAMPO DO MEIO,183,-21.11313573770492,-45.82658256830601,16.64,Baixo,Mata Atlântica,Ago,9.0,31.0,13.0,12.0,10.0,34.0,25.0,11.0,6.0,12.0,20.0
SABARÁ,183,-19.8512399453552,-43.78217109289618,16.64,Baixo,Mata Atlântica,Set,15.0,5.0,23.0,3.0,44.0,7.0,14.0,5.0,5.0,47.0,15.0
IGUATAMA,182,-20.12949098901099,-45.7502304945055,16.55,Baixo,Cerrado,Set,10.0,21.0,32.0,5.0,9.0,22.0,21.0,6.0,16.0,31.0,9.0
SABINÓPOLIS,181,-18.651120662983427,-43.07987127071823,16.45,Baixo,Mata Atlântica,Set,32.0,12.0,10.0,5.0,32.0,12.0,16.0,21.0,7.0,13.0,21.0
DIVINÓPOLIS,181,-20.123098453038672,-44.908352541436464,16.45,Baixo,Cerrado,Set,6.0,15.0,31.0,8.0,21.0,8.0,14.0,18.0,5.0,31.0,24.0
CARMO DO RIO CLARO,180,-20.948910722222223,-46.09641611111111,16.36,Baixo,Cerrado,Set,1.0,1.0,27.0,4.0,6.0,29.0,5.0,14.0,25.0,49.0,19.0
BOM DESPACHO,177,-19.69931661016949,-45.3039972881356,16.09,Baixo,Cerrado,Set,10.0,21.0,12.0,5.0,9.0,17.0,27.0,20.0,16.0,21.0,19.0
CARANDAÍ,176,-20.987997670454543,-43.86223920454545,16.0,Baixo,Mata Atlântica,Set,4.0,12.0,12.0,7.0,22.0,14.0,37.0,12.0,12.0,33.0,11.0
MATIAS CARDOSO,174,-14.937068563218393,-43.7249674137931,15.82,Baixo,Caatinga,Out,17.0,7.0,9.0,3.0,14.0,20.0,23.0,40.0,12.0,9.0,20.0
SENADOR MODESTINO GONÇALVES,174,-17.86887540229885,-43.27004954022989,15.82,Baixo,Cerrado,Out,66.0,4.0,9.0,6.0,23.0,2.0,4.0,14.0,15.0,25.0,6.0
